store_id,name,address,city,region,latitude,longitude,banner,click_and_collect,delivery
b39562a4-2b72-43fe-b9ba-eda1d651ad0b,PAK'nSAVE Hastings,"602 Heretaunga Street West, West End Shopping Centre, Hastings, 4120",Hastings,NI,-39.636804,176.836635,PNS,True,False
64eab5b1-8d79-45f4-94f1-02b8cf8b6202,PAK'nSAVE Silverdale,"20 Hibiscus Coast Highway, Silverdale, Auckland, 0932",Auckland,NI,-36.620413,174.672975,PNS,True,False
c2204dae-579e-4b6b-9d42-2e13ceaa6031,PAK'nSAVE Pukekohe,"99 Queen Street, Pukekohe, 2120",Pukekohe,NI,-37.205157,174.899612,PNS,True,False
b2e98a14-c8ca-401e-99ed-edf74570c6f6,PAK'nSAVE Mt Albert,"1167-1177 New North Road, Auckland, 1025",Auckland,NI,-36.89305,174.70624,PNS,True,False
3e82142c-78dc-46f3-82ec-28e65fcf84c9,PAK'nSAVE Clendon,"16 Robert Ross Place, Clendon Park, Auckland, 2103",Auckland,NI,-37.03242,174.867278,PNS,True,False
a7d09522-bee2-41e4-8fe0-0b82b7f342f5,PAK'nSAVE Papakura,"331-345 Great South Road, Takanini, Auckland, 2110",Auckland,NI,-37.053393,174.93096,PNS,True,False
3404c253-577f-45ca-b301-c98312e46efb,PAK'nSAVE Glen Innes,"182 Apirana Avenue, Glen Innes, Auckland, 1072",Auckland,NI,-36.875918,174.855148,PNS,True,False
076e8177-943b-41fc-a885-ba3d28297acf,PAK'nSAVE Mill Street,"17 Mill Street, Whitiora, Hamilton, 3200",Hamilton,NI,-37.7799,175.27281,PNS,True,False
65defcf2-bc15-490e-a84f-1f13b769cd22,PAK'nSAVE Albany,"Don McKinnon Drive, Albany, Auckland, 0632",Auckland,NI,-36.729975,174.706725,PNS,True,False
d6d39eea-889d-4e20-923c-55cab225cf7f,PAK'nSAVE Clarence Street,"85 Clarence Street, Hamilton Lake, Hamilton, 3204",Hamilton,NI,-37.795653,175.282839,PNS,True,False
33d8d6fc-861a-45ff-9937-5ccdb55eaede,PAK'nSAVE Westgate,"17-19 Fred Taylor Drive, Massey, Auckland, 0814",Auckland,NI,-36.820257,174.608696,PNS,True,False
92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,"202 Lincoln Road, Henderson, Auckland, 0610",Auckland,NI,-36.857794,174.627968,PNS,True,False
